Session,SessionID,Round,ID,Decision (1=vol.),Number Volunteers,Earnings,Cumulative Earnings,Age,Gender,Race,Country,Marital Status,Employment Status,Student Status,Year in School,No Major,Arts Humanities,Business,Economics,Politics,Sociology,Social Science,Law,Medical,Science,Other,Number Siblings,Hosehold Size,Budget Responsibility,Income,Vote,Occupation,Other Id:
vd060705a,1,1,1,0,0,0.2,0.2,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID10
vd060705a,1,2,1,1,1,0.8,1,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID6
vd060705a,1,3,1,1,1,0.8,1.8,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID4
vd060705a,1,4,1,0,0,0.2,2,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID4
vd060705a,1,5,1,1,2,0.8,2.8,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID7
vd060705a,1,6,1,1,1,0.8,3.6,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID6
vd060705a,1,7,1,1,1,0.8,4.4,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID9
vd060705a,1,8,1,1,2,0.8,5.2,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID7
vd060705a,1,9,1,1,2,0.8,6,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID8
vd060705a,1,10,1,0,1,1,7,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID2
vd060705a,1,11,1,0,0,0.2,7.2,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID11
vd060705a,1,12,1,1,1,0.8,8,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID8
vd060705a,1,13,1,1,2,0.8,8.8,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID4
vd060705a,1,14,1,1,1,0.8,9.6,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID2
vd060705a,1,15,1,0,1,1,10.6,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID9
vd060705a,1,16,1,1,2,0.8,11.4,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID7
vd060705a,1,17,1,1,1,0.8,12.2,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID2
vd060705a,1,18,1,1,2,0.8,13,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID7
vd060705a,1,19,1,0,1,1,14,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID7
vd060705a,1,20,1,1,1,0.8,14.8,21,2,1,1,1,2,1,16,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,ID10
vd060705a,1,1,2,0,0,0.2,0.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID8
vd060705a,1,2,2,1,2,0.8,1,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID7
vd060705a,1,3,2,1,2,0.8,1.8,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID9
vd060705a,1,4,2,0,0,0.2,2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID9
vd060705a,1,5,2,0,0,0.2,2.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID11
vd060705a,1,6,2,0,1,1,3.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID9
vd060705a,1,7,2,0,1,1,4.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID6
vd060705a,1,8,2,0,0,0.2,4.4,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID10
vd060705a,1,9,2,1,2,0.8,5.2,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID7
vd060705a,1,10,2,1,1,0.8,6,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID1
vd060705a,1,11,2,0,1,1,7,20,2,3,1,1,3,1,14,0,0,0,0,0,0,0,0,0,1,0,2,4,4,4,2,1,ID3
